name,entity_link
the spy who dumped me (2018),<http://dbpedia.org/resource/The_Spy_Who_Dumped_Me>
spaceballs (1987),<http://dbpedia.org/resource/Spaceballs>
the lodge (2019),<http://dbpedia.org/resource/The_Lodge_(film)>
perhaps love (2005),<http://dbpedia.org/resource/Perhaps_Love_(2005_film)>
tammy (2014),<http://dbpedia.org/resource/Tammy_(film)>
the kitchen (2019),<http://dbpedia.org/resource/The_Kitchen_(2019_film)>
my spy (2020),<http://dbpedia.org/resource/My_Spy>
a family man (2016),<http://dbpedia.org/resource/A_Family_Man>
buddy boy (1999),<http://dbpedia.org/resource/Buddy_Boy>
predator (1987),<http://dbpedia.org/resource/Predator_(film)>
total recall (2012),<http://dbpedia.org/resource/Total_Recall_(2012_film)>
dark (2017),<http://dbpedia.org/resource/Dark_(TV_series)>
dark command (1940),<http://dbpedia.org/resource/Dark_Command>
10 things i hate about you (1999),<http://dbpedia.org/resource/10_Things_I_Hate_About_You>
the boy next door (2015),<http://dbpedia.org/resource/The_Boy_Next_Door_(film)>
good morning (1959),<http://dbpedia.org/resource/Good_Morning_(1959_film)>
my fair lady (1964),<http://dbpedia.org/resource/My_Fair_Lady_(film)>
oscar (1991),<http://dbpedia.org/resource/Oscar_(1991_film)>
the great gatsby (2013),<http://dbpedia.org/resource/The_Great_Gatsby_(2013_film)>
lady and the tramp (2019),<http://dbpedia.org/resource/Lady_and_the_Tramp_(2019_film)>
star wars: the rise of skywalker (2019),<http://dbpedia.org/resource/Star_Wars:_The_Rise_of_Skywalker>
the lego batman movie (2017),<http://dbpedia.org/resource/The_Lego_Batman_Movie>
the bat (1959),<http://dbpedia.org/resource/The_Bat_(1959_film)>
simon sez (1999),<http://dbpedia.org/resource/Simon_Sez>
suicide squad (2016),<http://dbpedia.org/resource/Suicide_Squad_(film)>
bad santa (2003),<http://dbpedia.org/resource/Bad_Santa>
speed (1994),<http://dbpedia.org/resource/Speed_(1994_film)>
the help (2011),<http://dbpedia.org/resource/The_Help_(film)>
the rise (2012),<http://dbpedia.org/resource/The_Rise_(film)>
the proposal (2009),<http://dbpedia.org/resource/The_Proposal_(2009_film)>
jumanji: the next level (2019),<http://dbpedia.org/resource/Jumanji:_The_Next_Level>
going overboard (1989),<http://dbpedia.org/resource/Going_Overboard>
overboard (1987),<http://dbpedia.org/resource/Overboard_(1987_film)>
letters from iwo jima (2006),<http://dbpedia.org/resource/Letters_from_Iwo_Jima>
inception (2010),<http://dbpedia.org/resource/Inception>
dunkirk (2017),<http://dbpedia.org/resource/Dunkirk_(2017_film)>
dark waters (2019),<http://dbpedia.org/resource/Dark_Waters_(2019_film)>
get out (2017),<http://dbpedia.org/resource/Get_Out>
thank you for your service (2017),<http://dbpedia.org/resource/Thank_You_for_Your_Service_(2017_film)>
the waterboy (1998),<http://dbpedia.org/resource/The_Waterboy>
step brothers (2008),<http://dbpedia.org/resource/Step_Brothers_(film)>
marriage story (2019),<http://dbpedia.org/resource/Marriage_Story>
blended (2014),<http://dbpedia.org/resource/Blended_(film)>
the conjuring 2 (2016),<http://dbpedia.org/resource/The_Conjuring_2>
ex machina (2014),<http://dbpedia.org/resource/Ex_Machina_(film)>
"i, robot (2004)","<http://dbpedia.org/resource/I,_Robot_(film)>"
bella (2006),<http://dbpedia.org/resource/Bella_(2006_film)>
the office (2005),<http://dbpedia.org/resource/The_Office_(American_TV_series)>
valerian and the city of a thousand planets (2017),<http://dbpedia.org/resource/Valerian_and_the_City_of_a_Thousand_Planets>
the fifth element (1997),<http://dbpedia.org/resource/The_Fifth_Element>
the turning (2020),<http://dbpedia.org/resource/The_Turning_(2020_film)>
akira (),<http://dbpedia.org/resource/The_Current_(song)>
ready player one (2018),<http://dbpedia.org/resource/Ready_Player_One_(film)>
anon (2018),<http://dbpedia.org/resource/Anon_(film)>
the universe (2007),<http://dbpedia.org/resource/The_Universe_(TV_series)>
lucas (1986),<http://dbpedia.org/resource/Lucas_(film)>
charlie's angels (2019),<http://dbpedia.org/resource/Charlie's_Angels_(2019_film)>
epic (2013),<http://dbpedia.org/resource/Epic_(2013_film)>
poltergeist (1982),<http://dbpedia.org/resource/Poltergeist_(1982_film)>
knives out (2019),<http://dbpedia.org/resource/Knives_Out>
casino (1995),<http://dbpedia.org/resource/Casino_(1995_film)>
zombies 2 (2020),<http://dbpedia.org/resource/Zombies_2>
happy feet (2006),<http://dbpedia.org/resource/Happy_Feet>
the greatest showman (2017),<http://dbpedia.org/resource/The_Greatest_Showman>
the conjuring (2013),<http://dbpedia.org/resource/The_Conjuring>
the changeling (2008),<http://dbpedia.org/resource/What_Lies_Beneath>
what lies beneath (2000),<http://dbpedia.org/resource/What_Lies_Beneath>
the woman in black (2012 film),<http://dbpedia.org/resource/Haunted_(comics)>
an american werewolf in london (1981),<http://dbpedia.org/resource/An_American_Werewolf_in_London>
fright night (1985),<http://dbpedia.org/resource/Fright_Night>
pulp fiction (1994),<http://dbpedia.org/resource/Pulp_Fiction>
the machinist (2004),<http://dbpedia.org/resource/The_Machinist>
psycho (1960),<http://dbpedia.org/resource/Psycho_(1960_film)>
jaws (1975),<http://dbpedia.org/resource/Jaws_(film)>
memento (2000),<http://dbpedia.org/resource/Memento_(film)>
what we do in the shadows (2014),<http://dbpedia.org/resource/What_We_Do_in_the_Shadows>
moulin rouge! (2001),<http://dbpedia.org/resource/Moulin_Rouge!>
the producers (2005),<http://dbpedia.org/resource/The_Producers_(2005_film)>
the interview (2014),<http://dbpedia.org/resource/The_Interview>
tropic thunder (2008),<http://dbpedia.org/resource/Tropic_Thunder>
sorry to bother you (2018),<http://dbpedia.org/resource/Sorry_to_Bother_You>
dr. strangelove (1964),<http://dbpedia.org/resource/Dr._Strangelove>
monty python's life of brian (1979),<http://dbpedia.org/resource/Monty_Python's_Life_of_Brian>
robin hood: men in tights (1993),<http://dbpedia.org/resource/Robin_Hood:_Men_in_Tights>
shaun of the dead (2004),<http://dbpedia.org/resource/Shaun_of_the_Dead>
zombeavers (2014),<http://dbpedia.org/resource/Zombeavers>
living the dream (2017),<http://dbpedia.org/resource/Living_the_Dream_(British_TV_series)>
genesis (2018),<http://dbpedia.org/resource/Genesis_(2018_Canadian_film)>
ace ventura (1994),<http://dbpedia.org/resource/Ace_Ventura>
bad boys (1995),<http://dbpedia.org/resource/Bad_Boys_(1995_film)>
black monday (2019),<http://dbpedia.org/resource/Black_Monday_(TV_series)>
something wild (1986),<http://dbpedia.org/resource/Something_Wild_(1986_film)>
sleepy hollow (2013),<http://dbpedia.org/resource/Sleepy_Hollow_(TV_series)>
world war z (2013),<http://dbpedia.org/resource/World_War_Z_(film)>
i am legend (2007),<http://dbpedia.org/resource/I_Am_Legend_(film)>
sir (2018),<http://dbpedia.org/resource/Sir_(2018_film)>
life (2017),<http://dbpedia.org/resource/Life_(2017_film)>
detective story (1951),<http://dbpedia.org/resource/Detective_Story_(1951_film)>
once upon a time (2011),<http://dbpedia.org/resource/Once_Upon_a_Time_(TV_series)>
marvel (2008),<http://dbpedia.org/resource/End_Game_(2018_film)>
looking for richard (1996),<http://dbpedia.org/resource/Looking_for_Richard>
vampires (1998),<http://dbpedia.org/resource/Vampires_(1998_film)>
the meyerowitz stories (2017),<http://dbpedia.org/resource/The_Meyerowitz_Stories>
uncut gems (2019),<http://dbpedia.org/resource/Uncut_Gems>
jumanji (1995),<http://dbpedia.org/resource/Jumanji>
come outside (1993),<http://dbpedia.org/resource/Come_Outside>
historical roasts (2019),<http://dbpedia.org/resource/Historical_Roasts>
birds of prey (2020),<http://dbpedia.org/resource/Birds_of_Prey_(2020_film)>
harley quinn (2019),<http://dbpedia.org/resource/Harley_Quinn_(TV_series)>
dope (2015),<http://dbpedia.org/resource/Dope_(2015_film)>
shutter island (2010),<http://dbpedia.org/resource/Shutter_Island_(film)>
the lion king (1994),<http://dbpedia.org/resource/The_Lion_King>
original sin (2001),<http://dbpedia.org/resource/Original_Sin_(2001_film)>
fargo (1996),<http://dbpedia.org/resource/Fargo_(1996_film)>
bedtime stories (2008),<http://dbpedia.org/resource/Bedtime_Stories_(film)>
avengers (2012),<http://dbpedia.org/resource/Avengers:_Endgame>
captain america: civil war (2016),<http://dbpedia.org/resource/Captain_America:_Civil_War>
the civil war (1990),<http://dbpedia.org/resource/The_Civil_War_(miniseries)>
central intelligence (2016),<http://dbpedia.org/resource/Central_Intelligence>
interstellar (2014),<http://dbpedia.org/resource/Interstellar_(film)>
ad astra (2019),<http://dbpedia.org/resource/Ad_Astra_(film)>
murder mystery (2019),<http://dbpedia.org/resource/Murder_Mystery_(film)>
one chance (2013),<http://dbpedia.org/resource/One_Chance_(film)>
mad max: fury road (2015),<http://dbpedia.org/resource/Mad_Max:_Fury_Road>
batman (1989),<http://dbpedia.org/resource/Batman_(1989_film)>
the invisible man (2020),<http://dbpedia.org/resource/The_Invisible_Man_(2020_film)>
either way (2011),<http://dbpedia.org/resource/Either_Way_(film)>
the gift (2015),<http://dbpedia.org/resource/The_Gift_(2015_American_film)>
jason x (2001),<http://dbpedia.org/resource/Jason_X>
it (1990),<http://dbpedia.org/resource/It_(miniseries)>
ford v ferrari (2019),<http://dbpedia.org/resource/Ford_v_Ferrari>
life partners (2014),<http://dbpedia.org/resource/Life_Partners>
silver linings playbook (2012),<http://dbpedia.org/resource/Silver_Linings_Playbook>
american hustle (2013),<http://dbpedia.org/resource/American_Hustle>
serial mom (1994),<http://dbpedia.org/resource/Serial_Mom>
night school (2018),<http://dbpedia.org/resource/Night_School_(2018_film)>
the wedding ringer (2015),<http://dbpedia.org/resource/The_Wedding_Ringer>
guardians (2017),<http://dbpedia.org/resource/Guardians_(2017_film)>
true (2004),<http://dbpedia.org/resource/True_(Ryan_Cabrera_song)>
the squid and the whale (2005),<http://dbpedia.org/resource/The_Squid_and_the_Whale>
jurassic park (1993),<http://dbpedia.org/resource/Jurassic_Park_(film)>
end game (2006),<http://dbpedia.org/resource/End_Game_(2006_film)>
working girl (1988),<http://dbpedia.org/resource/Working_Girl>
the godfather (1972),<http://dbpedia.org/resource/The_Godfather>
full metal jacket (1987),<http://dbpedia.org/resource/Full_Metal_Jacket>
adventure time (2010),<http://dbpedia.org/resource/Adventure_Time_(season_1)>
men in black (1997),<http://dbpedia.org/resource/Men_in_Black_(1997_film)>
the shawshank redemption (1994),<http://dbpedia.org/resource/The_Shawshank_Redemption>
mine (2016),<http://dbpedia.org/resource/Mine_(2016_film)>
raising arizona (1987),<http://dbpedia.org/resource/Raising_Arizona>
braveheart (1995),<http://dbpedia.org/resource/Braveheart>
saving private ryan (1998),<http://dbpedia.org/resource/Saving_Private_Ryan>
the green mile (1999),<http://dbpedia.org/resource/The_Green_Mile_(film)>
volcano (1997),<http://dbpedia.org/resource/Volcano_(1997_film)>
toy story 4 (2019),<http://dbpedia.org/resource/Toy_Story_4>
toy story (1995),<http://dbpedia.org/resource/Toy_Story_(franchise)>
greetings (1968),<http://dbpedia.org/resource/Greetings_(1968_film)>
iron man (2008),<http://dbpedia.org/resource/Iron_Man_(2008_film)>
the incredible hulk (2008),<http://dbpedia.org/resource/The_Incredible_Hulk_(film)>
hulk (2003),<http://dbpedia.org/resource/Hulk_(film)>
stan (2006),<http://dbpedia.org/resource/Avengers:_Endgame>
mirrors (2008),<http://dbpedia.org/resource/Mirrors_(2008_film)>
the walking dead (2010),<http://dbpedia.org/resource/The_Walking_Dead_(season_1)>
another evil (2016),<http://dbpedia.org/resource/Another_Evil>
it chapter two (2019),<http://dbpedia.org/resource/It_Chapter_Two>
bridesmaids (2011),<http://dbpedia.org/resource/Bridesmaids_(2011_film)>
the festival (2018),<http://dbpedia.org/resource/The_Festival_(film)>
the inventor: out for blood in silicon valley (2019),<http://dbpedia.org/resource/The_Inventor:_Out_for_Blood_in_Silicon_Valley>
game night (2018),<http://dbpedia.org/resource/Game_Night_(film)>
annie (2014),<http://dbpedia.org/resource/Annie_(2014_film)>
the mirror crack'd (1980),<http://dbpedia.org/resource/The_Mirror_Crack'd>
murder on the orient express (2017),<http://dbpedia.org/resource/Murder_on_the_Orient_Express_(2017_film)>
midway (2019),<http://dbpedia.org/resource/Midway_(2019_film)>
the pacific (2010),<http://dbpedia.org/resource/The_Pacific_(miniseries)>
emma (1996),<http://dbpedia.org/resource/Emma_(1996_TV_film)>
knights (1993),<http://dbpedia.org/resource/Knights_(film)>
link (1986),<http://dbpedia.org/resource/Link_(film)>
friday (1995),<http://dbpedia.org/resource/Friday_(1995_film)>
coco (2017),<http://dbpedia.org/resource/Coco_(2017_film)>
despicable me 2 (2013),<http://dbpedia.org/resource/Despicable_Me_2>
despicable me (2010),<http://dbpedia.org/resource/Despicable_Me_(film)>
action (1980),<http://dbpedia.org/resource/Action_(1980_film)>
this is 40 (2012),<http://dbpedia.org/resource/This_Is_40>
jumanji: welcome to the jungle (2017),<http://dbpedia.org/resource/Jumanji:_Welcome_to_the_Jungle>
the score (2001),<http://dbpedia.org/resource/The_Score_(2001_film)>
tempted (2001),<http://dbpedia.org/resource/Tempted_(film)>
motherless brooklyn (2019),<http://dbpedia.org/resource/Motherless_Brooklyn_(film)>
bohemian rhapsody (2018),<http://dbpedia.org/resource/Bohemian_Rhapsody_(film)>
judy (2019),<http://dbpedia.org/resource/Judy_(film)>
dolores claiborne (1995),<http://dbpedia.org/resource/Dolores_Claiborne_(film)>
jessie (2016),<http://dbpedia.org/resource/Jessie_(film)>
thirst (2016),<http://dbpedia.org/resource/Oldboy_(2013_film)>
the dark knight (2008),<http://dbpedia.org/resource/The_Dark_Knight_(film)>
oldboy (2013),<http://dbpedia.org/resource/Oldboy_(2013_film)>
how to lose a guy in 10 days (2003),<http://dbpedia.org/resource/How_to_Lose_a_Guy_in_10_Days>
bad boys ii (2003),<http://dbpedia.org/resource/Bad_Boys_II>
rick (2003),<http://dbpedia.org/resource/Rick_(film)>
inglourious basterds (2009),<http://dbpedia.org/resource/Inglourious_Basterds>
scary movie (2000),<http://dbpedia.org/resource/Scary_Movie>
anna (2019),<http://dbpedia.org/resource/Anna_(2019_feature_film)>
airplane! (1980),<http://dbpedia.org/resource/Airplane!>
amadeus (1984),<http://dbpedia.org/resource/Amadeus_(film)>
the original (2018),<http://dbpedia.org/resource/Dune_(1984_film)>
the american (2010),<http://dbpedia.org/resource/The_American_(2010_film)>
sonic the hedgehog (2020),<http://dbpedia.org/resource/Sonic_the_Hedgehog_(film)>
avatar (2009),<http://dbpedia.org/resource/Avatar_(2009_film)>
aladdin (2019),<http://dbpedia.org/resource/Aladdin_(2019_film)>
special effects (1984),<http://dbpedia.org/resource/Special_Effects_(film)>
simba (1955),<http://dbpedia.org/resource/Simba_(1955_film)>
king kong (2005),<http://dbpedia.org/resource/King_Kong_(2005_film)>
the karate kid (1984),<http://dbpedia.org/resource/The_Karate_Kid>
godzilla (1954),<http://dbpedia.org/resource/Godzilla_(1954_film)>
crawl (2019),<http://dbpedia.org/resource/Crawl_(2019_film)>
sharknado 5: global swarming (2017),<http://dbpedia.org/resource/Sharknado_5:_Global_Swarming>
x-men (2000),<http://dbpedia.org/resource/X-Men_(film)>
the new mutants (2020),<http://dbpedia.org/resource/The_New_Mutants_(film)>
popcorn (1991),<http://dbpedia.org/resource/Popcorn_(1991_film)>
21 bridges (2019),<http://dbpedia.org/resource/21_Bridges>
eddie (1996),<http://dbpedia.org/resource/Eddie_(film)>
neighbors (2014),<http://dbpedia.org/resource/Neighbors_(2014_American_film)>
black christmas (2019),<http://dbpedia.org/resource/Black_Christmas_(2019_film)>
the fast and the furious (2001),<http://dbpedia.org/resource/The_Fast_and_the_Furious_(2001_film)>
half baked (1998),<http://dbpedia.org/resource/Half_Baked>
dave (1993),<http://dbpedia.org/resource/Dave_(film)>
dazed and confused (1993),<http://dbpedia.org/resource/Dazed_and_Confused_(film)>
the english teacher (2013),<http://dbpedia.org/resource/The_English_Teacher_(film)>
scary stories to tell in the dark (2019),<http://dbpedia.org/resource/Scary_Stories_to_Tell_in_the_Dark_(film)>
the hunger games (2012),<http://dbpedia.org/resource/The_Hunger_Games_(film)>
happy (2015),<http://dbpedia.org/resource/Happy_(2015_film)>
four christmases (2008),<http://dbpedia.org/resource/Four_Christmases>
surviving christmas (2004),<http://dbpedia.org/resource/Surviving_Christmas>
office (),<http://dbpedia.org/resource/Surviving_Christmas>
family viewing (1987),<http://dbpedia.org/resource/Family_Viewing>
the knight before christmas (2019),<http://dbpedia.org/resource/The_Knight_Before_Christmas>
we're the millers (2013),<http://dbpedia.org/resource/We're_the_Millers>
a quiet place (2018),<http://dbpedia.org/resource/A_Quiet_Place>
the asphalt jungle (1950),<http://dbpedia.org/resource/The_Asphalt_Jungle>
raging bull (1980),<http://dbpedia.org/resource/Raging_Bull>
forget paris (1995),<http://dbpedia.org/resource/Forget_Paris>
love actually (2003),<http://dbpedia.org/resource/Love_Actually>
sonic x (2003),<http://dbpedia.org/resource/Sonic_X>
table 19 (2017),<http://dbpedia.org/resource/Table_19>
bird (1988),<http://dbpedia.org/resource/Bird_(1988_film)>
bird box (2018),<http://dbpedia.org/resource/Bird_Box_(film)>
just friends (2005),<http://dbpedia.org/resource/Just_Friends>
ryan (2004),<http://dbpedia.org/resource/Ryan_(film)>
a christmas movie christmas (2019),<http://dbpedia.org/resource/Home_Town_(TV_series)>
home town (2016),<http://dbpedia.org/resource/Elf_(film)>
the internship (2013),<http://dbpedia.org/resource/The_Internship>
old school (2003),<http://dbpedia.org/resource/Old_School_(film)>
big hero 6 (2014),<http://dbpedia.org/resource/Big_Hero_6_(film)>
the little mermaid (1989),<http://dbpedia.org/resource/The_Little_Mermaid_(1989_film)>
silence (2016),<http://dbpedia.org/resource/Silence_(2016_film)>
wonder boys (2000),<http://dbpedia.org/resource/Wonder_Boys_(film)>
romancing the stone (1984),<http://dbpedia.org/resource/Romancing_the_Stone>
vito (2011),<http://dbpedia.org/resource/Vito_(film)>
green lantern (2011),<http://dbpedia.org/resource/Green_Lantern_(film)>
john wick: chapter 2 (2017),<http://dbpedia.org/resource/John_Wick:_Chapter_2>
panic room (2002),<http://dbpedia.org/resource/Panic_Room>
early man (2018),<http://dbpedia.org/resource/Early_Man_(film)>
the shape of water (2017),<http://dbpedia.org/resource/The_Shape_of_Water>
hidden figures (2016),<http://dbpedia.org/resource/Hidden_Figures>
fright (1971),<http://dbpedia.org/resource/Fright_(film)>
the ring (2002),<http://dbpedia.org/resource/The_Ring_(2002_film)>
fences (2016),<http://dbpedia.org/resource/Fences_(film)>
endgame (2009),<http://dbpedia.org/resource/Endgame_(2009_film)>
black widow (2020),<http://dbpedia.org/resource/Avenger_(film)>
the blind side (2009),<http://dbpedia.org/resource/The_Blind_Side_(film)>
downsizing (2017),<http://dbpedia.org/resource/Downsizing_(film)>
the martian (2015),<http://dbpedia.org/resource/The_Martian_(film)>
jessica (2004),<http://dbpedia.org/resource/Jessica_(miniseries)>
birds of prey (1973),<http://dbpedia.org/resource/Birds_of_Prey_(1973_film)>
being there (1979),<http://dbpedia.org/resource/Being_There>
the current (2014),<http://dbpedia.org/resource/Oscar_(1991_film)>
just looking (1999),<http://dbpedia.org/resource/Just_Looking>
hush (2016),<http://dbpedia.org/resource/Hush_(2016_film)>
morgan (2016),<http://dbpedia.org/resource/Morgan_(2016_film)>
super troopers 2 (2018),<http://dbpedia.org/resource/Super_Troopers_2>
twilight (2008),<http://dbpedia.org/resource/Twilight_(2008_film)>
the queen (2006),<http://dbpedia.org/resource/The_Queen_(2006_film)>
bonnie and clyde (1967),<http://dbpedia.org/resource/Bonnie_and_Clyde_(film)>
the boy and the beast (2015),<http://dbpedia.org/resource/The_Boy_and_the_Beast>
finding forrester (2000),<http://dbpedia.org/resource/Finding_Forrester>
medicine man (1992),<http://dbpedia.org/resource/Medicine_Man_(film)>
san francisco (1936),<http://dbpedia.org/resource/San_Francisco_(1936_film)>
pursuit of happiness (2001),<http://dbpedia.org/resource/Medicine_Man_(film)>
groundhog day (1993),<http://dbpedia.org/resource/Groundhog_Day_(film)>
